,Unnamed: 0,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.val_MAE,metrics.loss,metrics.val_MSE,metrics.test_MSE,metrics.val_RMSE,metrics.mse,metrics.test_MAE,metrics.test_RMSE,metrics.best_val_RMSE,params.shuffle,params.opt_beta_1,params.opt_learning_rate,params.opt_epsilon,params.kernel_weight,params.opt_decay,params.sample_weight,params.kernel_regularizer,params.validation_batch_size,params.steps_per_epoch,params.class_weight,params.use_multiprocessing,params.opt_name,params.opt_amsgrad,params.learning_rate,params.num_units,params.epochs,params.validation_steps,params.workers,params.max_queue_size,params.batch_size,params.validation_split,params.activation,params.num_layers,params.validation_freq,params.initial_epoch,params.opt_beta_2,tags.mlflow.log-model.history,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.parentRunId,tags.best_run,tags.mlflow.runName
0,0,ac3f4d7339dc4ec89a7b65d94043ad86,1,FINISHED,./mlruns/1/ac3f4d7339dc4ec89a7b65d94043ad86/artifacts,2022-04-05 12:18:05.513000+00:00,2022-04-05 12:18:24.408000+00:00,0.25714666,0.4551335275173187,0.13710983,0.11727425,0.5070963,0.1412286609411239,0.23355943,0.48327985,,True,0.9,0.01,1e-07,7.943282347242805e-07,0.0,None,l2,None,None,None,False,Adam,False,0.01,57.0,1.0,None,1.0,10.0,None,0.0,relu,16.0,1.0,0.0,0.999,"[{""run_id"": ""ac3f4d7339dc4ec89a7b65d94043ad86"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:18:18.419881"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""f277a2b90fff4852aeb186fe302a21e0""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
1,1,4757c55fb87a44b48c6325094b5fccfb,1,FINISHED,./mlruns/1/4757c55fb87a44b48c6325094b5fccfb/artifacts,2022-04-05 12:17:56.358000+00:00,2022-04-05 12:18:11.101000+00:00,0.3379717,2.458285093307495,0.16271573,0.16480537,0.5813533,0.1799832135438919,0.33337307,0.5773847,,True,0.9,0.0001,1e-07,0.0125892541179416,0.0,None,l2,None,None,None,False,Adam,False,0.0001,32.0,1.0,None,1.0,10.0,None,0.0,tanh,4.0,1.0,0.0,0.999,"[{""run_id"": ""4757c55fb87a44b48c6325094b5fccfb"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:18:04.775498"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""118afd9e23e34e6c83075deece1c673c""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
2,2,a9d9722e4f8b4f85bb482f73355a2db5,1,FINISHED,./mlruns/1/a9d9722e4f8b4f85bb482f73355a2db5/artifacts,2022-04-05 12:17:46.296000+00:00,2022-04-05 12:18:01.556000+00:00,0.32750332,0.6491982340812683,0.1643975,0.16856466,0.57227904,0.185219407081604,0.29831922,0.5461861,,True,0.9,0.1,1e-07,3.162277660168379e-06,0.0,None,l2,None,None,None,False,Adam,False,0.1,69.0,1.0,None,1.0,10.0,None,0.0,sigmoid,5.0,1.0,0.0,0.999,"[{""run_id"": ""a9d9722e4f8b4f85bb482f73355a2db5"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:17:54.964741"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""39a74acfbd754858b2830d5e019cf56f""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
3,3,fb40c746b7974b94bd45111b3d5a9476,1,FINISHED,./mlruns/1/fb40c746b7974b94bd45111b3d5a9476/artifacts,2022-04-05 12:17:35.154000+00:00,2022-04-05 12:17:51.648000+00:00,0.45165423,86.4666519165039,0.21985602,0.22378226,0.67205226,0.2414982169866562,0.45674688,0.6758305,,True,0.9,0.0001,1e-07,0.0316227766016837,0.0,None,l1,None,None,None,False,Adam,False,0.0001,99.0,1.0,None,1.0,10.0,None,0.0,tanh,2.0,1.0,0.0,0.999,"[{""run_id"": ""fb40c746b7974b94bd45111b3d5a9476"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:17:45.523993"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""38260de4b0244fc1864059c0a243bd6d""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
4,4,cead7164cc414fc989b05b458424ec6f,1,FINISHED,./mlruns/1/cead7164cc414fc989b05b458424ec6f/artifacts,2022-04-05 12:17:12.072000+00:00,2022-04-05 12:17:41.850000+00:00,0.21340224,0.4164744317531585,0.11245443,0.11763454,0.4619548,0.1336905062198639,0.21512917,0.4638202,,True,0.9,0.001,1e-07,1.995262314968879e-07,0.0,None,l1,None,None,None,False,Adam,False,0.001,71.0,1.0,None,1.0,10.0,None,0.0,relu,10.0,1.0,0.0,0.999,"[{""run_id"": ""cead7164cc414fc989b05b458424ec6f"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:17:29.803016"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""f2f16e87da8e48c4bcc1f6775daed026""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
5,5,620c6ae7b9164e56a74f17cf5d24554a,1,FINISHED,./mlruns/1/620c6ae7b9164e56a74f17cf5d24554a/artifacts,2022-04-05 12:16:59.842000+00:00,2022-04-05 12:17:31.072000+00:00,0.28852534,0.6459112167358398,0.17160858,0.16791682,0.53714556,0.1813819855451584,0.30188227,0.5494381,,True,0.9,0.01,1e-07,1.5848931924611107e-05,0.0,None,l2,None,None,None,False,Adam,False,0.01,112.0,1.0,None,1.0,10.0,None,0.0,tanh,18.0,1.0,0.0,0.999,"[{""run_id"": ""620c6ae7b9164e56a74f17cf5d24554a"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:17:20.545764"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""5ea52c79604e4ac6adf9abe815b2782e""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
6,6,7ded4af47c114613b3c933cc6c1686d4,1,FINISHED,./mlruns/1/7ded4af47c114613b3c933cc6c1686d4/artifacts,2022-04-05 12:16:30.432000+00:00,2022-04-05 12:17:07.199000+00:00,0.23546016,0.444170743227005,0.11930811,0.11424221,0.48524237,0.1400469094514846,0.20712286,0.45510754,,True,0.9,0.001,1e-07,3.981071705534969e-06,0.0,None,l2,None,None,None,False,Adam,False,0.001,98.0,1.0,None,1.0,10.0,None,0.0,relu,19.0,1.0,0.0,0.999,"[{""run_id"": ""7ded4af47c114613b3c933cc6c1686d4"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:16:57.813535"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""c2326b9e72034d8885191480fdfd7e83""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
7,7,50ba3b3f6b894c33928246b9a0325e97,1,FINISHED,./mlruns/1/50ba3b3f6b894c33928246b9a0325e97/artifacts,2022-04-05 12:16:27.575000+00:00,2022-04-05 12:16:55.731000+00:00,0.29982015,0.4957545399665832,0.14257786,0.14270878,0.54755837,0.1600137650966644,0.3016305,0.549209,,True,0.9,0.0001,1e-07,1.995262314968874e-09,0.0,None,l2,None,None,None,False,Adam,False,0.0001,62.0,1.0,None,1.0,10.0,None,0.0,tanh,14.0,1.0,0.0,0.999,"[{""run_id"": ""50ba3b3f6b894c33928246b9a0325e97"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:16:45.472739"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""bdf86dcdf08146cfb0979d84b653dd7e""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
8,8,9b1312eafac441988e96997d04adbbc7,1,FINISHED,./mlruns/1/9b1312eafac441988e96997d04adbbc7/artifacts,2022-04-05 12:16:10.342000+00:00,2022-04-05 12:16:25.942000+00:00,0.2506323,0.5358348488807678,0.12634054,0.15983015,0.50063187,0.1608693897724151,0.37153956,0.60954046,,True,0.9,0.1,1e-07,3.981071705534969e-07,0.0,None,l2,None,None,None,False,Adam,False,0.1,51.0,1.0,None,1.0,10.0,None,0.0,sigmoid,2.0,1.0,0.0,0.999,"[{""run_id"": ""9b1312eafac441988e96997d04adbbc7"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:16:20.115231"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""81f50f9a57be40aeaa2bb9cd76a37b3c""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
9,9,dd301bdbf4dd4c08b9326e15c8d68136,1,FINISHED,./mlruns/1/dd301bdbf4dd4c08b9326e15c8d68136/artifacts,2022-04-05 12:16:03.228000+00:00,2022-04-05 12:16:23.467000+00:00,0.33416688,0.5158010125160217,0.16363114,0.17030278,0.5780717,0.1655389070510864,0.29027426,0.5387711,,True,0.9,0.1,1e-07,6.30957344480193e-07,0.0,None,l1,None,None,None,False,Adam,False,0.1,92.0,1.0,None,1.0,10.0,None,0.0,softmax,10.0,1.0,0.0,0.999,"[{""run_id"": ""dd301bdbf4dd4c08b9326e15c8d68136"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:16:16.933739"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""d840c2353942429d953cc12f80fee8c9""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
